Lon,Lat,occur.backgr,BO21_tempmin_bdmean,BO21_tempmin_ss,BO21_RCP45_2050_tempmin_bdmean,BO21_RCP85_2050_tempmin_bdmean,BO21_RCP45_2100_tempmin_bdmean,BO21_RCP85_2100_tempmin_bdmean,BO21_RCP45_2050_tempmin_ss,BO21_RCP85_2050_tempmin_ss,BO21_RCP45_2100_tempmin_ss,BO21_RCP85_2100_tempmin_ss,MS_bathy_5m,MS_biogeo06_bathy_slope_5m,BO_calcite,BO_ph,BO21_ppmean_bdmean,OrbitalVelMean,Rock50cm,TidalVelMean
-2.692226,48.655304,1,7.447819232940674,7.595280647277832,8.136068344116211,7.814533233642578,8.416998863220215,9.934907913208008,8.48884391784668,7.906999111175537,8.619497299194336,10.244473457336426,-9,0.009999999776482582,0.0035840000491589308,8.11299991607666,0.005107622593641281,0.16339188069105176,0.04972686183949392,46.70207087198888
-2.731744,47.522071,1,7.8383636474609375,7.542217254638672,8.456284523010254,8.304424285888672,8.79953670501709,10.177330017089844,8.384031295776367,7.963581562042236,8.449675559997559,9.991559028625488,-25,0.05999999865889549,0.013069000095129013,8.133999824523926,0.025057656690478325,0.17484350254138248,0.003287777770310703,9.351911862691216
-4.60709,48.24245,1,9.29612922668457,8.873292922973633,9.721000671386719,9.597813606262207,10.034067153930664,11.348779678344727,9.364742279052734,9.134997367858887,9.380759239196777,10.76014518737793,-23,0.019999999552965164,0.0019150000298395753,8.168999671936035,0.003831899492070079,0.11311980398992699,0.2904118498166401,56.47725105285653
-5.176242,48.46656,1,9.606822967529297,9.53735065460205,9.766620635986328,9.896710395812988,10.109057426452637,11.280033111572266,9.95269775390625,9.76879596710205,9.96693229675293,11.348611831665039,-102,0.05000000074505806,0.0016009999671950936,8.182000160217285,3.1910775578580797e-4,0.04857436950421943,0.26014179156886447,64.71911271413181
-2.7595,48.65628,1,7.606657981872559,7.626100063323975,8.243284225463867,7.9894819259643555,8.525959968566895,9.993280410766602,8.51778793334961,7.939874649047852,8.646907806396484,10.27080249786377,-17,0.05000000074505806,0.0038880000356584787,8.116000175476074,0.004538901150226593,0.20404513925314008,0.16380764606098497,40.39939244588207
-4.64344,48.30466,1,9.252220153808594,8.88183879852295,9.7006683349609375,9.52702522277832,9.996146202087402,11.329549789428711,9.398255348205566,9.133784294128418,9.4169921875,10.81784725189209,-18,0.029999999329447746,0.0012870000209659338,8.168999671936035,0.0033995849080383778,0.11349208218355977,0.28561727205912246,59.635057449341
-1.75312,48.87414,1,7.330931663513184,6.707302093505859,8.064621925354004,7.743349552154541,8.301151275634766,9.839890480041504,7.667326927185059,7.035824298858643,7.845061302185059,9.513148307800293,-9,0.009999999776482582,0.004174999892711639,8.0839996337890625,0.0035853865556418896,0.23299015189210515,0.3461967384209879,69.08313115437839
-2.071,48.68,1,6.939671516418457,7.008600234985352,7.676840782165527,7.334423542022705,7.937613487243652,9.496657371520996,7.945504188537598,7.31899356842041,8.106925964355469,9.766456604003906,-12,0.019999999552965164,0.005570999812334776,8.08899974822998,0.008170416578650475,0.19233212847676448,0.35503603766362507,62.967667685615304
-2.25139,48.70778,1,7.276000022888184,7.300107955932617,7.993605136871338,7.671360015869141,8.255182266235352,9.772686004638672,8.208794593811035,7.600514888763428,8.343921661376953,9.999677658081055,-18,0.019999999552965164,0.0023980000987648964,8.095999717712402,0.004808797966688871,0.1076264340016571,0.5749269301692668,85.80946583218092
-2.13955,48.65528,1,7.002882957458496,7.219993591308594,7.712619781494141,7.413383483886719,7.972718238830566,9.516678810119629,8.143545150756836,7.521835803985596,8.298335075378418,9.953536033630371,-5,0.009999999776482582,0.005173000041395426,8.092000007629395,0.007672531064599752,0.18835501372814178,0.3522254228591919,49.65029525756836
