variable,percent.contribution,permutation.importance
TidalVelMean,0,0
BO_calcite,6.5842,3.8051
BO_ph,6.6651,5.5477
BO21_tempmin_bdmean,7.1892,14.0177
Rock50cm,9.3224,1.6015
MS_biogeo06_bathy_slope_5m,11.673,11.205
MS_bathy_5m,25.2842,44.0979
OrbitalVelMean,33.2819,19.725
