gbifID,family,species,lon,lat,year,country,institutionCode,identificationVerificationStatus
3019204637,Alcyoniidae,Alcyonium digitatum,-4.66262,48.06971,2016,France,BioObs,"Probable, high degree of reliability"
3054578605,Alcyoniidae,Alcyonium digitatum,-5.785369,54.18689,2016,United Kingdom,CEDaR,Accepted - considered correct
3055209675,Alcyoniidae,Alcyonium digitatum,-5.609617,54.46206,2016,United Kingdom,CEDaR,Accepted - considered correct
3055222405,Alcyoniidae,Alcyonium digitatum,-5.828515,54.15577,2016,United Kingdom,CEDaR,Accepted - considered correct
1313443969,Alcyoniidae,Alcyonium digitatum,-9.833764,51.620818,2016,Ireland,NBDC,NA
1313444546,Alcyoniidae,Alcyonium digitatum,-9.868062,51.647244,2016,Ireland,NBDC,NA
1313446921,Alcyoniidae,Alcyonium digitatum,-9.951168,53.803299,2016,Ireland,NBDC,NA
1313451278,Alcyoniidae,Alcyonium digitatum,-9.831315,53.140215,2016,Ireland,NBDC,NA
2400164837,Alcyoniidae,Alcyonium digitatum,6.729235,62.711718,2016,Norway,nef,NA
2401755607,Alcyoniidae,Alcyonium digitatum,6.727816,62.711743,2016,Norway,nef,NA
2410023218,Alcyoniidae,Alcyonium digitatum,8.051483,58.161664,2016,Norway,nef,NA
2450867232,Alcyoniidae,Alcyonium digitatum,5.878673,58.968962,2016,Norway,Miljodir,NA
2450867649,Alcyoniidae,Alcyonium digitatum,5.71851,59.05966,2016,Norway,Miljodir,NA
2450868563,Alcyoniidae,Alcyonium digitatum,8.06625,58.1323,2016,Norway,Miljodir,NA
2450870798,Alcyoniidae,Alcyonium digitatum,5.426855,59.255626,2016,Norway,Miljodir,NA
2450871600,Alcyoniidae,Alcyonium digitatum,8.522821,58.25454,2016,Norway,Miljodir,NA
2450873089,Alcyoniidae,Alcyonium digitatum,8.581778,58.316602,2016,Norway,Miljodir,NA
2450892980,Alcyoniidae,Alcyonium digitatum,8.035953,58.144695,2016,Norway,Miljodir,NA
2450910456,Alcyoniidae,Alcyonium digitatum,8.944219,58.5132,2016,Norway,Miljodir,NA
2450913259,Alcyoniidae,Alcyonium digitatum,8.537156,58.273133,2016,Norway,Miljodir,NA
2902192270,Alcyoniidae,Alcyonium digitatum,-4.814936,54.090597,2016,United Kingdom,MBRP,Unconfirmed
2936997375,Alcyoniidae,Alcyonium digitatum,-2.772247,56.333511,2016,United Kingdom,Fife Nature Records Centre,Accepted
2956438365,Alcyoniidae,Alcyonium digitatum,-2.482069,49.44099,2016,Guernsey,Seasearch,Accepted - considered correct
2956468373,Alcyoniidae,Alcyonium digitatum,-5.205669,51.857799,2016,United Kingdom,Seasearch,Accepted - considered correct
2956472372,Alcyoniidae,Alcyonium digitatum,-5.248212,51.7381,2016,United Kingdom,Seasearch,Accepted - considered correct
2956478406,Alcyoniidae,Alcyonium digitatum,-4.144254,53.23376,2016,United Kingdom,Seasearch,Accepted - considered correct
2956479352,Alcyoniidae,Alcyonium digitatum,-4.649392,53.27257,2016,United Kingdom,Seasearch,Accepted - considered correct
2956493001,Alcyoniidae,Alcyonium digitatum,-9.75483,53.12068,2016,Ireland,Seasearch,Accepted - considered correct
2956493177,Alcyoniidae,Alcyonium digitatum,-9.836177,51.62127,2016,Ireland,Seasearch,Accepted - considered correct
2956528839,Alcyoniidae,Alcyonium digitatum,-5.528282,54.71326,2016,United Kingdom,Seasearch,Accepted - considered correct
2956530414,Alcyoniidae,Alcyonium digitatum,-4.613948,53.25912,2016,United Kingdom,Seasearch,Accepted - considered correct
2956531366,Alcyoniidae,Alcyonium digitatum,-10.00536,53.25699,2016,Ireland,Seasearch,Accepted - considered correct
2956533200,Alcyoniidae,Alcyonium digitatum,-9.74306,53.22779,2016,Ireland,Seasearch,Accepted - considered correct
2956545580,Alcyoniidae,Alcyonium digitatum,-4.257369,50.18157,2016,United Kingdom,Seasearch,Accepted - considered correct
2956550436,Alcyoniidae,Alcyonium digitatum,-9.841744,53.13931,2016,Ireland,Seasearch,Accepted - considered correct
2956581379,Alcyoniidae,Alcyonium digitatum,-4.131941,50.30413,2016,United Kingdom,Seasearch,Accepted - considered correct
2956582084,Alcyoniidae,Alcyonium digitatum,-4.26554,50.19143,2016,United Kingdom,Seasearch,Accepted - considered correct
2956584711,Alcyoniidae,Alcyonium digitatum,-6.312634,49.98235,2016,United Kingdom,Seasearch,Accepted - considered correct
2956592097,Alcyoniidae,Alcyonium digitatum,-9.575414,53.23966,2016,Ireland,Seasearch,Accepted - considered correct
2956606619,Alcyoniidae,Alcyonium digitatum,-4.655834,53.27436,2016,United Kingdom,Seasearch,Accepted - considered correct
2956636058,Alcyoniidae,Alcyonium digitatum,-5.238856,51.73795,2016,United Kingdom,Seasearch,Accepted - considered correct
2956642972,Alcyoniidae,Alcyonium digitatum,-4.06064,50.29162,2016,United Kingdom,Seasearch,Accepted - considered correct
2956653410,Alcyoniidae,Alcyonium digitatum,-6.272403,49.90656,2016,United Kingdom,Seasearch,Accepted - considered correct
2956654629,Alcyoniidae,Alcyonium digitatum,-4.069032,53.28084,2016,United Kingdom,Seasearch,Accepted - considered correct
2956657259,Alcyoniidae,Alcyonium digitatum,-4.134342,50.30725,2016,United Kingdom,Seasearch,Accepted - considered correct
2956666827,Alcyoniidae,Alcyonium digitatum,-3.632741,50.22574,2016,United Kingdom,Seasearch,Accepted - considered correct
2956717607,Alcyoniidae,Alcyonium digitatum,-4.658475,53.27414,2016,United Kingdom,Seasearch,Accepted - considered correct
2956717832,Alcyoniidae,Alcyonium digitatum,-4.020154,53.31931,2016,United Kingdom,Seasearch,Accepted - considered correct
2956734620,Alcyoniidae,Alcyonium digitatum,-4.688178,53.29968,2016,United Kingdom,Seasearch,Accepted - considered correct
2956761840,Alcyoniidae,Alcyonium digitatum,-5.621845,56.11317,2016,United Kingdom,Seasearch,Accepted - considered correct
2956795336,Alcyoniidae,Alcyonium digitatum,-6.272744,49.90772,2016,United Kingdom,Seasearch,Accepted - considered correct
2956805956,Alcyoniidae,Alcyonium digitatum,-6.349084,49.88272,2016,United Kingdom,Seasearch,Accepted - considered correct
