variable,percent.contribution,permutation.importance
BO_ph,0.4002,0.5739
OrbitalVelMean,0.5861,1.6946
Rock50cm,0.9175,0.2459
TidalVelMean,1.1977,0.3319
BO_calcite,2.8335,1.0092
BO21_tempmin_bdmean,18.4245,22.2479
MS_biogeo06_bathy_slope_5m,19.6221,10.735
MS_bathy_5m,56.0185,63.1616
