species,lon,lat
Eunicella verrucosa,-2.9162699999999964,47.56467999620584
Eunicella verrucosa,-9.691,52.70999999751129
Eunicella verrucosa,-9.16324200000001,53.14956999759569
Eunicella verrucosa,-3.9525000000000006,48.73583299655739
Eunicella verrucosa,-3.900000000000001,48.70999999654997
Eunicella verrucosa,-3.9600000000000017,48.74999999656146
Eunicella verrucosa,-3.990000000000003,47.689999996245014
Eunicella verrucosa,-4.059999999999999,47.729999996257455
Eunicella verrucosa,-4.419999999999997,48.3099999964334
Eunicella verrucosa,-8.439999999999992,54.4699999978266
Eunicella verrucosa,-5.3,51.73999999731089
Eunicella verrucosa,-4.1099999999999985,50.29999999697568
Eunicella verrucosa,-4.339999999999995,50.20999999695316
Eunicella verrucosa,-4.129999999999995,50.33999999698556
Eunicella verrucosa,-4.949999999999996,50.58999999704692
Eunicella verrucosa,-5.000000000000003,50.069999996917716
Eunicella verrucosa,-5.0399999999999965,50.049999996912625
Eunicella verrucosa,-5.039999999999994,50.03999999691012
Eunicella verrucosa,-2.959999999999994,50.64999999706138
Eunicella verrucosa,-2.799999999999996,50.679999997068634
Eunicella verrucosa,-2.94,50.679999997068634
Eunicella verrucosa,-4.689999999999996,51.16999999718377
Eunicella verrucosa,-6.3100000000000005,49.97999999689477
Eunicella verrucosa,-6.260000000000001,49.96999999689219
Eunicella verrucosa,-5.040837000000008,48.59918099651811
Eunicella verrucosa,-5.008320999999994,48.58934399651521
Eunicella verrucosa,-2.6114019999999996,48.739132996558304
Eunicella verrucosa,-4.239999999999997,50.299999996975664
Eunicella verrucosa,-4.269999999999993,50.199999996950666
Eunicella verrucosa,-5.049999999999999,49.99999999689986
Eunicella verrucosa,-2.9499999999999993,50.6999999970734
Eunicella verrucosa,-4.150000000000003,50.29999999697568
Eunicella verrucosa,-2.9600000000000017,50.59999999704931
Eunicella verrucosa,-3.0399999999999987,50.59999999704931
Eunicella verrucosa,-2.8099999999999987,50.6999999970734
Eunicella verrucosa,-5.039999999999994,49.99999999689986
Eunicella verrucosa,-5.019999999999998,50.099999996925376
Eunicella verrucosa,-2.949999999999998,50.59999999704931
Eunicella verrucosa,-4.120000000000008,50.299999996975664
Eunicella verrucosa,-3.539999999999998,50.29999999697568
Eunicella verrucosa,-3.970000000000003,50.29999999697568
Eunicella verrucosa,-5.069999999999991,50.099999996925376
Eunicella verrucosa,-4.070000000000005,50.299999996975664
Eunicella verrucosa,-2.38,50.5999999970493
Eunicella verrucosa,-5.059999999999989,50.59999999704931
Eunicella verrucosa,-4.970000000000001,50.6999999970734
Eunicella verrucosa,-5.079999999999994,50.6999999970734
Eunicella verrucosa,-4.9399999999999995,50.09999999692537
Eunicella verrucosa,-5.049999999999993,50.099999996925376
Eunicella verrucosa,-5.129999999999991,49.99999999689986
Eunicella verrucosa,-4.1699999999999955,50.299999996975664
Eunicella verrucosa,-4.980000000000003,50.59999999704931
Eunicella verrucosa,-3.0399999999999987,50.699999997073405
Eunicella verrucosa,-4.889999999999996,50.59999999704931
Eunicella verrucosa,-2.2599999999999976,50.59999999704931
Eunicella verrucosa,-3.0600000000000023,50.599999997049316
Eunicella verrucosa,-2.8600000000000017,50.6999999970734
Eunicella verrucosa,-2.45,50.59999999704931
Eunicella verrucosa,-4.989999999999997,50.099999996925376
Eunicella verrucosa,-4.339999999999995,50.199999996950666
Eunicella verrucosa,-4.259999999999996,50.199999996950666
Eunicella verrucosa,-4.999999999999993,50.099999996925376
Eunicella verrucosa,-6.269999999999996,49.899999996874165
